XC,Metal,SC,ISIF,SOC,Bulk_elem,Waves,V_SC,V_metal,Delta-V,M_Fermi,SC_VBM,SB_calc,Expt_SB,MAE,,Name,Description
PBE,Al,Si,2,no,Relaxed,Middle_Wave,-5.924252,-7.799264,1.875012,8.0692769,5.61637,0.5778949,0.58,0.0021051,,XC ,Exchange-correlation functional
OPT,Al,Si,2,no,Relaxed,Middle_Wave,-5.877702,-7.555586,1.677884,7.9075362,5.520369,0.7092832,0.58,0.1292832,,Metal ,Metal in (111) orientation
SCAN,Al,Si,2,no,Relaxed,Middle_Wave,-5.900851,-7.610331,1.70948,8.27157378,5.683575,0.87851878,0.58,0.29851878,,SC ,Semiconductor in (111) orientation
MBJ-β,Al,Si,2,no,Relaxed,Middle_Wave,-5.547466,-7.516433,1.968967,7.69096004,5.157852,0.56414104,0.58,0.01585896,,ISIF ,Degrees-of-freedom of VASP calculation
PBE,Cu,Si,2,no,Relaxed,Middle_Wave,-5.674707,-7.145215,1.470509,6.81828931,5.61637,-0.26858969,0.46,0.72858969,,SOC ,Spin-orbit coupling
OPT,Cu,Si,2,no,Relaxed,Middle_Wave,-5.748634,-6.995936,1.247302,6.67856078,5.520369,-0.08911022,0.46,0.54911022,,Bulk_elem ,Treatment given to Metal and SC bulk calculation
SCAN,Cu,Si,2,no,Relaxed,Middle_Wave,-5.536049,-6.923181,1.387132,7.22192556,5.683575,0.15121856,0.46,0.30878144,,Waves ,Waves selected from electrostatic potential for analysis
MBJ-β,Cu,Si,2,no,Relaxed,Middle_Wave,-5.684267,-7.750053,2.065786,7.93523027,5.157852,0.71159227,0.46,0.25159227,,V_SC ,Potential of Semiconductor in the interface (eV)
PBE,Ag,Si,2,no,Relaxed,Middle_Wave,-5.718893,-7.930104,2.211211,7.83888005,5.61637,0.01129905,0.55,0.53870095,,V_metal,Potential of Metal in the interface (eV)
OPT,Ag,Si,2,no,Relaxed,Middle_Wave,-5.629879,-8.076461,2.446582,7.88760019,5.520369,-0.07935081,0.55,0.62935081,,Delta-V ,Potential difference between V_SC and V_metal (eV)
SCAN,Ag,Si,2,no,Relaxed,Middle_Wave,-5.601694,-8.09374,2.492046,8.34764123,5.683575,0.17202023,0.55,0.37797977,,M_Fermi ,Fermi level of Metal bulk (eV)
MBJ-β,Ag,Si,2,no,Relaxed,Middle_Wave,-5.639904,-8.715345,3.075441,9.337379,5.157852,1.104086,0.55,0.554086,,SC_VBM ,Valance band maximum of Semiconductor bulk (eV)
PBE,Au,Si,2,no,Relaxed,Middle_Wave,-5.731927,-8.816067,3.08414,8.5849316,5.61637,-0.1155784,0.34,0.4555784,,SB_calc,Calculated Schottky Barriers (eV)
OPT,Au,Si,2,no,Relaxed,Middle_Wave,-5.681923,-8.715873,3.03395,8.43519735,5.520369,-0.11912165,0.34,0.45912165,,Expt_SB,Experimental Schottky Barriers (eV)
SCAN,Au,Si,2,no,Relaxed,Middle_Wave,-5.598048,-8.889624,3.291575,9.08926249,5.683575,0.11411249,0.34,0.22588751,,MAE ,Mean Absolute Error (eV)
MBJ-β,Au,Si,2,no,Relaxed,Middle_Wave,-5.783888,-9.102315,3.318427,9.2349421,5.157852,0.7586631,0.34,0.4186631,,,
HSE+PBE,Al,Si,2,no,Relaxed,Middle_Wave,-5.924252,-7.799264,1.875012,8.06921503,5.449076,0.74512703,0.58,0.16512703,,,
HSE+OPT,Al,Si,2,no,Relaxed,Middle_Wave,-5.877702,-7.555586,1.677884,8.06921503,5.449076,0.94225503,0.58,0.36225503,,,
HSE+SCAN,Al,Si,2,no,Relaxed,Middle_Wave,-5.900851,-7.610331,1.70948,8.06921503,5.449076,0.91065903,0.58,0.33065903,,,
HSE+PBE,Cu,Si,2,no,Relaxed,Middle_Wave,-5.674707,-7.145215,1.470509,6.82348794,5.449076,-0.09609706,0.46,0.55609706,,,
HSE+OPT,Cu,Si,2,no,Relaxed,Middle_Wave,-5.748634,-6.995936,1.247302,6.82348794,5.449076,0.12710994,0.46,0.33289006,,,
HSE+SCAN,Cu,Si,2,no,Relaxed,Middle_Wave,-5.536049,-6.923181,1.387132,6.82348794,5.449076,-0.01272006,0.46,0.47272006,,,
HSE+PBE,Ag,Si,2,no,Relaxed,Middle_Wave,-5.718893,-7.930104,2.211211,7.84197403,5.449076,0.18168703,0.55,0.36831297,,,
HSE+OPT,Ag,Si,2,no,Relaxed,Middle_Wave,-5.629879,-8.076461,2.446582,7.84197403,5.449076,-0.05368397,0.55,0.60368397,,,
HSE+SCAN,Ag,Si,2,no,Relaxed,Middle_Wave,-5.601694,-8.09374,2.492046,7.84197403,5.449076,-0.09914797,0.55,0.64914797,,,
HSE+PBE,Au,Si,2,no,Relaxed,Middle_Wave,-5.731927,-8.816067,3.08414,8.58700063,5.449076,0.05378463,0.34,0.28621537,,,
HSE+OPT,Au,Si,2,no,Relaxed,Middle_Wave,-5.681923,-8.715873,3.03395,8.58700063,5.449076,0.10397463,0.34,0.23602537,,,
HSE+SCAN,Au,Si,2,no,Relaxed,Middle_Wave,-5.598048,-8.889624,3.291575,8.58700063,5.449076,-0.15365037,0.34,0.49365037,,,
PBE,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.924252,-7.799264,1.875012,8.06927032,5.632008,0.56225032,0.58,0.01774968,,,
OPT,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.877702,-7.555586,1.677884,7.90749717,5.536251,0.69336217,0.58,0.11336217,,,
SCAN,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.900851,-7.610331,1.70948,8.26606035,5.701064,0.85551635,0.58,0.27551635,,,
MBJ-β,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.547466,-7.516433,1.968967,7.69099783,5.173486,0.54854483,0.58,0.03145517,,,
PBE,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.674707,-7.145215,1.470509,6.80928536,5.632008,-0.29323164,0.46,0.75323164,,,
OPT,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.748634,-6.995936,1.247302,6.6813683,5.536251,-0.1021847,0.46,0.5621847,,,
SCAN,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.536049,-6.923181,1.387132,7.2523897,5.701064,0.1641937,0.46,0.2958063,,,
MBJ-β,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.684267,-7.750053,2.065786,7.94048409,5.173486,0.70121209,0.46,0.24121209,,,
PBE,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.718893,-7.930104,2.211211,7.85396827,5.632008,0.01074927,0.55,0.53925073,,,
OPT,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.629879,-8.076461,2.446582,7.90256202,5.536251,-0.08027098,0.55,0.63027098,,,
SCAN,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.601694,-8.09374,2.492046,8.36155728,5.701064,0.16844728,0.55,0.38155272,,,
MBJ-β,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.639904,-8.715345,3.075441,9.3341445,5.173486,1.0852175,0.55,0.5352175,,,
PBE,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.731927,-8.816067,3.08414,8.75317337,5.632008,0.03702537,0.34,0.30297463,,,
OPT,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.681923,-8.715873,3.03395,8.60293511,5.536251,0.03273411,0.34,0.30726589,,,
SCAN,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.598048,-8.889624,3.291575,9.25628044,5.701064,0.26364144,0.34,0.07635856,,,
MBJ-β,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.783888,-9.102315,3.318427,9.25172791,5.173486,0.75981491,0.34,0.41981491,,,
HSE+PBE,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.924252,-7.799264,1.875012,8.08444944,5.46662,0.74281744,0.58,0.16281744,,,
HSE+OPT,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.877702,-7.555586,1.677884,8.08444944,5.46662,0.93994544,0.58,0.35994544,,,
HSE+SCAN,Al+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.900851,-7.610331,1.70948,8.08444944,5.46662,0.90834944,0.58,0.32834944,,,
HSE+PBE,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.674707,-7.145215,1.470509,6.79891619,5.46662,-0.13821281,0.46,0.59821281,,,
HSE+OPT,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.748634,-6.995936,1.247302,6.79891619,5.46662,0.08499419,0.46,0.37500581,,,
HSE+SCAN,Cu+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.536049,-6.923181,1.387132,6.79891619,5.46662,-0.05483581,0.46,0.51483581,,,
HSE+PBE,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.718893,-7.930104,2.211211,7.8559635,5.46662,0.1781325,0.55,0.3718675,,,
HSE+OPT,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.629879,-8.076461,2.446582,7.8559635,5.46662,-0.0572385,0.55,0.6072385,,,
HSE+SCAN,Ag+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.601694,-8.09374,2.492046,7.8559635,5.46662,-0.1027025,0.55,0.6527025,,,
HSE+PBE,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.731927,-8.816067,3.08414,8.75250101,5.46662,0.20174101,0.34,0.13825899,,,
HSE+OPT,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.681923,-8.715873,3.03395,8.75250101,5.46662,0.25193101,0.34,0.08806899,,,
HSE+SCAN,Au+SOC,Si,2,yes,Relax+SOC,Middle_Wave,-5.598048,-8.889624,3.291575,8.75250101,5.46662,-0.00569399,0.34,0.34569399,,,
PBE,Al,Si,2,no,Strained,Middle_Wave,-5.924252,-7.799264,1.875012,7.35632479,5.481265,4.78E-05,0.58,0.57995221,,,
OPT,Al,Si,2,no,Strained,Middle_Wave,-5.877702,-7.555586,1.677884,7.35042494,5.388384,0.28415694,0.58,0.29584306,,,
SCAN,Al,Si,2,no,Strained,Middle_Wave,-5.900851,-7.610331,1.70948,7.38952882,5.320238,0.35981082,0.58,0.22018918,,,
MBJ-β,Al,Si,2,no,Strained,Middle_Wave,-5.547466,-7.516433,1.968967,7.11513397,5.022442,0.12372497,0.58,0.45627503,,,
PBE,Cu,Si,2,no,Strained,Middle_Wave,-5.674707,-7.145215,1.470509,6.98367207,5.481265,0.03189807,0.46,0.42810193,,,
OPT,Cu,Si,2,no,Strained,Middle_Wave,-5.748634,-6.995936,1.247302,6.82642087,5.388384,0.19073487,0.46,0.26926513,,,
SCAN,Cu,Si,2,no,Strained,Middle_Wave,-5.536049,-6.923181,1.387132,6.69718388,5.320238,-0.01018612,0.46,0.47018612,,,
MBJ-β,Cu,Si,2,no,Strained,Middle_Wave,-5.684267,-7.750053,2.065786,8.00910773,5.022442,0.92087973,0.46,0.46087973,,,
PBE,Ag,Si,2,no,Strained,Middle_Wave,-5.718893,-7.930104,2.211211,7.89200475,5.481265,0.19952875,0.55,0.35047125,,,
OPT,Ag,Si,2,no,Strained,Middle_Wave,-5.629879,-8.076461,2.446582,7.77012046,5.388384,-0.06484554,0.55,0.61484554,,,
SCAN,Ag,Si,2,no,Strained,Middle_Wave,-5.601694,-8.09374,2.492046,7.77033652,5.320238,-0.04194748,0.55,0.59194748,,,
MBJ-β,Ag,Si,2,no,Strained,Middle_Wave,-5.639904,-8.715345,3.075441,8.82622535,5.022442,0.72834235,0.55,0.17834235,,,
PBE,Au,Si,2,no,Strained,Middle_Wave,-5.731927,-8.816067,3.08414,8.69566633,5.481265,0.13026133,0.34,0.20973867,,,
OPT,Au,Si,2,no,Strained,Middle_Wave,-5.681923,-8.715873,3.03395,8.59856937,5.388384,0.17623537,0.34,0.16376463,,,
SCAN,Au,Si,2,no,Strained,Middle_Wave,-5.598048,-8.889624,3.291575,8.39161423,5.320238,-0.22019877,0.34,0.56019877,,,
MBJ-β,Au,Si,2,no,Strained,Middle_Wave,-5.783888,-9.102315,3.318427,9.38632136,5.022442,1.04545236,0.34,0.70545236,,,
HSE+PBE,Al,Si,2,no,Strained,Middle_Wave,-5.924252,-7.799264,1.875012,7.35634201,5.118977,0.36235301,0.58,0.21764699,,,
HSE+OPT,Al,Si,2,no,Strained,Middle_Wave,-5.877702,-7.555586,1.677884,7.39877517,5.118977,0.60191417,0.58,0.02191417,,,
HSE+SCAN,Al,Si,2,no,Strained,Middle_Wave,-5.900851,-7.610331,1.70948,7.39832698,5.118977,0.56986998,0.58,0.01013002,,,
HSE+PBE,Cu,Si,2,no,Strained,Middle_Wave,-5.674707,-7.145215,1.470509,6.98368354,5.118977,0.39419754,0.46,0.06580246,,,
HSE+OPT,Cu,Si,2,no,Strained,Middle_Wave,-5.748634,-6.995936,1.247302,6.979075,5.118977,0.612796,0.46,0.152796,,,
HSE+SCAN,Cu,Si,2,no,Strained,Middle_Wave,-5.536049,-6.923181,1.387132,6.96934846,5.118977,0.46323946,0.46,0.00323946,,,
HSE+PBE,Ag,Si,2,no,Strained,Middle_Wave,-5.718893,-7.930104,2.211211,7.89226627,5.118977,0.56207827,0.55,0.01207827,,,
HSE+OPT,Ag,Si,2,no,Strained,Middle_Wave,-5.629879,-8.076461,2.446582,7.89149288,5.118977,0.32593388,0.55,0.22406612,,,
HSE+SCAN,Ag,Si,2,no,Strained,Middle_Wave,-5.601694,-8.09374,2.492046,7.89151759,5.118977,0.28049459,0.55,0.26950541,,,
HSE+PBE,Au,Si,2,no,Strained,Middle_Wave,-5.731927,-8.816067,3.08414,8.69556711,5.118977,0.49245011,0.34,0.15245011,,,
HSE+OPT,Au,Si,2,no,Strained,Middle_Wave,-5.681923,-8.715873,3.03395,8.69561188,5.118977,0.54268488,0.34,0.20268488,,,
HSE+SCAN,Au,Si,2,no,Strained,Middle_Wave,-5.598048,-8.889624,3.291575,8.6901329,5.118977,0.2795809,0.34,0.0604191,,,
